BIOCHEMICAL,PATHWAY,ChemRICHClass,PUBCHEM,INCHIKEY,PLATFORM,MASS,RI
(11 or 12)-methyltridecanoate (a14:0 or i14:0),lipid,Fatty Acids,,,lc/ms neg,227.2017,5413
(12 or 13)-methylmyristate (a15:0 or i15:0),lipid,Fatty Acids,151014,ZOCYQVNGROEVLU-UHFFFAOYSA-N,lc/ms neg,241.2173,5499
(14 or 15)-methylpalmitate (a17:0 or i17:0),lipid,Fatty Acids,17903417,IIUXHTGBZYEGHI-UHFFFAOYSA-M,lc/ms neg,269.2487,5695
(15 or 16)-methylmargarate (a18:0 or i18:0),lipid,Fatty Acids,,,lc/ms neg,,
(15:0)-anacardic acid,xenobiotics,Hydroxybenzoates,167551,ADFWQBGTDJIESE-UHFFFAOYSA-N,lc/ms neg,347.3,5902
(15:2)-anacardic acid,xenobiotics,"Acids, Carbocyclic",190629,NYDNWAYCRJADHT-UHFFFAOYSA-N,lc/ms neg,343.3,5567
(15:3)-anacardic acid,xenobiotics,Salicylates,5388781,QUVGEKPNSCFQIR-AOSYACOCSA-N,lc/ms neg,341.2122,5483
(16 or 17)-methylstearate (a19:0 or i19:0),lipid,Fatty Acids,3083779,YETXGSGCWODRAA-UHFFFAOYSA-N,lc/ms neg,297.2799,5993
(2 or 3)-decenoate (10:1n7 or n8),lipid,Fatty Acids,,,lc/ms neg,169.1234,4990
"(2,4 or 2,5)-dimethylphenol sulfate",xenobiotics,Phenols,,,lc/ms neg,201.0227,3474
(2-butoxyethoxy)acetic acid,xenobiotics,Acetates,106312,MCORDGVZLPBVJB-UHFFFAOYSA-N,lc/ms pos early,177.1121,3177
(3'-5')-adenylyladenosine*,nucleotide,Nucleoside,145459090,GMMUGQUFVSNVPO-JXICNGGMSA-N,lc/ms neg,595.14199,2173
(3'-5')-adenylylcytidine,nucleotide,Nucleoside,145459091,DWFHIYSLVLLZKO-JXICNGGMSA-N,lc/ms neg,571.13076,1920
(3'-5')-adenylylguanosine*,nucleotide,Nucleoside,145459092,LYFOYYRLDJCZCQ-BBSMBACJSA-N,lc/ms neg,611.13691,1980
(3'-5')-adenylyluridine,nucleotide,Nucleotides,112074,RNNPIPQLZRGXIG-KPKSGTNCSA-N,lc/ms neg,572.11478,2002
(3'-5')-cytidylyladenosine,nucleotide,Nucleoside,,,lc/ms neg,571.13076,1754
(3'-5')-cytidylylcytidine*,nucleotide,Nucleoside,,,lc/ms neg,547.11953,1472
(3'-5')-cytidylylguanosine,nucleotide,Nucleoside,145459096,IUQGBHRJUZETOZ-BBSMBACJSA-N,lc/ms neg,587.12567,1537
(3'-5')-cytidylyluridine,dinucleotide,Nucleoside,,,lc/ms neg,548.1036,1522
(3'-5')-cytidylyluridine*,nucleotide,Nucleoside,145459097,XORLJVFIWPZUFM-JXICNGGMSA-N,lc/ms neg,548.10356,1522
(3'-5')-gppc*,nucleotide,Nucleoside,,,lc/ms neg,667.092,1075
(3'-5')-guanylyladenosine*,nucleotide,Nucleoside,145459098,NQOWMBCPCPWXEL-BBSMBACJSA-N,lc/ms neg,611.1369,1950
(3'-5')-guanylylcytidine,nucleotide,Nucleoside,145459099,ZTCBWFLKEVJFKH-BBSMBACJSA-N,lc/ms neg,587.12567,1670
(3'-5')-guanylyluridine,nucleotide,Nucleoside,145459101,LVKKTHQQYLXOKU-BBSMBACJSA-N,lc/ms neg,588.10969,1772
(3'-5')-uridylyladenosine,nucleotide,Nucleoside,,,lc/ms neg,572.1148,1871
(3'-5')-uridylylcytidine,nucleotide,Nucleoside,,,lc/ms neg,548.1036,1591
(3'-5')-uridylylcytidine*,nucleotide,Nucleoside,,,lc/ms neg,548.10356,1591
(3'-5')-uridylylguanosine,nucleotide,Nucleoside,145459104,KVQFZGVDNRPKSJ-BBSMBACJSA-N,lc/ms neg,588.10969,1637
(3'-5')-uridylyluridine,nucleotide,Oxidoreductases,102258,KXSPLNAXPMVUEC-NCOIDOBVSA-N,lc/ms neg,549.08756,1688
(n(1) + n(8))-acetylspermidine,amino acid,Putrescine,496,MQTAVJHICJWXBR-UHFFFAOYSA-N,lc/ms pos early,188.17574,3080
(r)-3-hydroxybutyrylcarnitine,lipid,CAR,53481617,UEFRDQSMQXDWTO-UHFFFAOYSA-N,lc/ms pos early,248.1493,2400
(s)-3-hydroxybutyrylcarnitine,lipid,CAR,155907023,UEFRDQSMQXDWTO-UHFFFAOYSA-N,lc/ms pos early,248.1493,2340
(s)-a-amino-omega-caprolactam,xenobiotics,Lactams,439823,BOWUOGIPSRVRSJ-RXMQYKEDSA-N,lc/ms pos early,129.1022,2378
1-(14 or 15-methyl)palmitoyl-gpc (a17:0 or i17:0)*,,,,,lc/ms neg,,
1-(1-enyl-oleoyl)-2-arachidonoyl-gpe (p-18:1/20:4)*,,,,,lc/ms polar,748.52866,751
1-(1-enyl-oleoyl)-2-docosahexaenoyl-gpc (p-18:1/22:6)*,,p-PC,,,lc/ms pos late,,
1-(1-enyl-oleoyl)-2-docosahexaenoyl-gpe (p-18:1/22:6)*,,p-PE,,,lc/ms pos late,,
1-(1-enyl-oleoyl)-2-linoleoyl-gpc (p-18:1/18:2)*,,,,,lc/ms pos late,,
1-(1-enyl-oleoyl)-2-linoleoyl-gpe (p-18:1/18:2)*,lipid,p-PE,,,lc/ms pos late,726.54322,2324
1-(1-enyl-oleoyl)-2-oleoyl-gpe (p-18:1/18:1),lipid,,,,lc/ms pos late,728.55887,2534
1-(1-enyl-oleoyl)-2-oleoyl-gpe (p-18:1/18:1)*,lipid,,,,lc/ms pos late,728.55887,2534
