compound_id,name,inchikey,smiles,platform,method,pubchem,mz,ri,observed_rt_sec,intensity
pubchem:189741,beta-citrylglutamate,GAQNUGISBQJMKO-UHFFFAOYSA-N,OC(CC(C(NC(CCC(O)=O)C(O)=O)=O)(CC(O)=O)O)=O,lc/ms neg,Method3,189741,320.06232,530.0,34.49,351155.6796875
pubchem:7405,5-oxoproline,ODHCTXKNWHHXJC-VKHMYHEASA-N,O=C1CC[C@@H]([C@@](O)=O)N1,lc/ms neg,Method3,7405,128.03531,738.5,44.96,3332677221.421875
pubchem:9920500,N-delta-acetylornithine,SRXKAYJJGAAOBP-UHFFFAOYSA-N,CC(NCCCC(N)C(O)=O)=O,lc/ms neg,Method3,9920500,173.09316,858.0,67.36,16173317.377929688
pubchem:94312,"5,6-dihydrouridine",ZPTBLXKRQACLCR-XVFCMESISA-N,OC[C@H]1O[C@@H](N2CCC(NC2=O)=O)[C@@H]([C@@H]1O)O,lc/ms neg,Method3,94312,245.07791,1119.0,64.76,45655956.71875
pubchem:121596205,salicyluric glucuronide*,OEPADIDIUZTYOX-UHFFFAOYSA-N,OC1=CC=CC=C1C(NCC(OC2C(O)C(O)C(O)C(C(O)=O)O2)=O)=O,lc/ms neg,Method3,121596205,370.07797,1463.0,83.84,1529360.19921875
pubchem:439750,N-formylmethionine,PYUSHNKNPOHWEZ-UHFFFAOYSA-N,CSCCC(C(O)=O)NC=O,lc/ms neg,Method3,439750,176.03869,1543.8,91.56,38414499.04003906
pubchem:3083688,vanilloylglycine,LOODYTDRRBLQNH-UHFFFAOYSA-N,OC1=CC=C(C=C1OC)C(NCC(O)=O)=O,lc/ms neg,Method3,3083688,224.0564,1682.0,64.8,193987.81640625
pubchem:79437,"1,3,7-trimethylurate",BYXCFUMGEBZDDI-UHFFFAOYSA-N,CN(C(N1C)=O)C(NC2=O)=C(N2C)C1=O,lc/ms neg,Method3,79437,209.068,1985.0,116.84,4323830.01953125
pubchem:1983,4-acetamidophenol,RZVAJINKPMORJF-UHFFFAOYSA-N,OC1=CC=C(NC(C)=O)C=C1,lc/ms neg,Method3,1983,150.05605,2173.7,127.6,14232723.6953125
pubchem:152467,N-acetyl-S-allyl-cysteine,LKRAEHUDIUJBSF-ZETCQYMHSA-N,OC([C@H](CSCC=C)N([H])C(C)=O)=O,lc/ms neg,Method3,152467,202.0543,2237.0,152.81,3031030.0234375
pubchem:5283028,dodecenedioate (C12:1-DC)*,OHCMUMNQAHNIEP-HNQUOIGGSA-N,OC(CCC/C=C/CCCCCC(O)=O)=O,lc/ms neg,Method3,5283028,227.1289,2700.0,234.46,22141747.70703125
pubchem:3744,indolepropionate,GOLXRNDWAUTYKT-UHFFFAOYSA-N,OC(CCC1=CNC2=C1C=CC=C2)=O,lc/ms neg,Method3,3744,188.0717,2795.0,164.32,231512042.53710938
pubchem:2750949,2-hydroxyheptanoate*,RGMMREBHCYXQMA-UHFFFAOYSA-N,OC(C(O)CCCCC)=O,lc/ms neg,Method3,2750949,145.08701,2900.0,169.63,25367764.75390625
pubchem:86018718,tetradecadienedioate (C14:2-DC)*,MUFSRLVOUKHPIZ-OVYZBVKCSA-N,O=C(O)CCC/C=C\C/C=C\CCCCC(O)=O,lc/ms neg,Method3,86018718,253.14453,3148.0,258.38,42154348.568359375
pubchem:6426766,4-vinylphenol sulfate,IETVQHUKTKKBFF-UHFFFAOYSA-N,O=S(OC1=CC=C(C=C)C=C1)(O)=O,lc/ms neg,Method3,6426766,199.00705,3320.0,194.73,162273598.3515625
pubchem:10443535,2-hydroxyibuprofen,UJHKVYPPCJBOSG-UHFFFAOYSA-N,OC(C)(C)CC(C=C1)=CC=C1C(C(O)=O)C,lc/ms neg,Method3,10443535,221.11831,3462.0,267.73,6862108.9248046875
pubchem:66633409,4-allylphenol sulfate,KFDHKOFCRYUXLA-UHFFFAOYSA-N,C=CCC1=CC=C(OS(=O)(O)=O)C=C1,lc/ms neg,Method3,66633409,213.0227,3805.0,227.21,236016460.1640625
pubchem:134595,21-hydroxypregnenolone disulfate,CBOVWLYQUCVTFA-WGKOQXAXSA-N,C[C@@]1([C@H]2[C@@](COS(=O)(O)=O)=O)[C@](CC2)([H])[C@@](CC=C3[C@@]4(CC[C@H](OS(=O)(O)=O)C3)C)([H])[C@@]4([H])CC1,lc/ms neg,Method3,134595,245.0671,3935.0,226.65,65755844.8671875
