compound_id,name,inchikey,smiles,platform,method,pubchem,mz,ri,observed_rt_sec,intensity
pubchem:1061,phosphate,NBIIXXVUZAFLBC-UHFFFAOYSA-N,O=P(O)(O)O,lc/ms pos early,Method1,1061,98.98418,576.0,37.35,1205891718.7011719
pubchem:1176,urea,XSQUKJJJFZCRTK-UHFFFAOYSA-N,O=C(N)N,lc/ms pos early,Method1,1176,121.07201,700.0,42.25,6069523633.878906
pubchem:107812,hypotaurine,VVIUBCNYACGLLV-UHFFFAOYSA-N,NCCS(O)=O,lc/ms pos early,Method1,107812,110.02703,724.0,43.95,145380574.546875
pubchem:10972,N-acetylglycine,OKJIRPAQVSHGFK-UHFFFAOYSA-N,O=C(O)C(NC(C)=O)[H],lc/ms pos early,Method1,10972,118.04987,826.0,48.37,551525255.875
pubchem:5351619,ergothioneine,SSISHJJTAXXQAX-UHFFFAOYSA-N,S=C1NC(CC(C([O-])=O)[N+](C)(C)C)=CN1,lc/ms pos early,Method1,5351619,230.09578,850.0,49.29,297404145.875
pubchem:82142,S-methylcysteine sulfoxide,ZZLHPCSGGOGHFW-UHFFFAOYSA-N,NC(CS(C)=O)C(O)=O,lc/ms pos early,Method1,82142,152.03759,900.0,52.91,306873941.09375
pubchem:43,2-hydroxyglutarate,HWXBTNAVRSUOJR-UHFFFAOYSA-N,O=C(O)CCC(O)C(O)=O,lc/ms pos early,Method1,43,147.02989,958.0,50.05,167326344.24609375
pubchem:93176,thioproline,DZLNHFMRPBPULJ-VKHMYHEASA-N,O=C(O)[C@]1(NCSC1)[H],lc/ms pos early,Method1,93176,134.02703,1250.0,67.76,78030409.53125
pubchem:440810,N1-methyl-4-pyridone-3-carboxamide,KTLRWTOPTKGYQY-UHFFFAOYSA-N,O=C(C(C1=O)=CN(C=C1)C)N,lc/ms pos early,Method1,440810,153.06586,1260.0,67.96,601796585.9921875
pubchem:12025,2-pyrrolidinone,HNJBEVLQSNELDL-UHFFFAOYSA-N,O=C1CCCN1,lc/ms pos early,Method1,12025,86.06004,1262.0,72.33,380298752.53125
pubchem:68374,7-methylxanthine,PFWLFWPASULGAN-UHFFFAOYSA-N,OC1=C(N2C)C(N=C2)=NC(O)=N1,lc/ms pos early,Method1,68374,167.0564,1350.0,69.58,46602371.46875
pubchem:650095,N1-methylinosine,WJNGQIYEQLPJMN-UHFFFAOYSA-N,OC(C1O)C(OC1CO)N(C=N2)C(N=CN3C)=C2C3=O,lc/ms pos early,Method1,650095,283.1037,1430.0,78.24,10693392.125
pubchem:11966181,S-1-pyrroline-5-carboxylate,DWAKNKKXGALPNW-UHFFFAOYSA-N,OC(C1CCC=N1)=O,lc/ms pos early,Method1,11966181,114.05496,1528.0,82.86,259416654.75
pubchem:107738,propionylcarnitine (C3),UFAHZIUFPNSHSL-UHFFFAOYSA-N,[O-]C(CC(OC(CC)=O)C[N+](C)(C)C)=O,lc/ms pos early,Method1,107738,218.138684,1589.0,151.98,406586517.27734375
pubchem:12665,2-piperidinone,XUWHAWMETYGRKB-UHFFFAOYSA-N,O=C1CCCCN1,lc/ms pos early,Method1,12665,100.07569,1675.0,86.2,977301533.65625
pubchem:76078708,gamma-glutamylthreonine,GWNXFCYUJXASDX-JUZNGCLZSA-N,CC(O)[C@@H](C(O)=O)NC(CC[C@@H](C(O)=O)N)=O,lc/ms pos early,Method1,76078708,249.10812,1750.0,99.61,119345243.296875
CAMXXPUSAROUCX,S-carboxyethylcysteine,CAMXXPUSAROUCX-BYPYZUCNSA-N,SC[C@@H](C(O)=O)NCCC(O)=O,lc/ms pos early,Method1,,194.0482,1785.0,62.15,2339183.328125
pubchem:305,choline,CRBHXDCYXIISFC-UHFFFAOYSA-N,[O-]CC[N+](C)(C)C,lc/ms pos early,Method1,305,104.10699,1961.0,113.25,36417766821.71875
pubchem:288,carnitine,PHIQHXFUZVPYII-ZCFIWIBFSA-N,[O-]C(C[C@@H](O)C[N+](C)(C)C)=O,lc/ms pos early,Method1,288,162.11247,1978.0,113.73,9405422471.71875
pubchem:588,creatinine,DDRJAANPRJIHGJ-UHFFFAOYSA-N,CN(C(N1)=N)CC1=O,lc/ms pos early,Method1,588,114.06619,2055.0,118.69,18193542666.960938
pubchem:6426709,prolylglycine,RNKSNIBMTUYWSH-YFKPBYRVSA-N,O=[C@]([C@H]1NCCC1)NCC(O)=O,lc/ms pos early,Method1,6426709,173.09207,2136.0,124.3,54757110.3515625
pubchem:190,adenine,GFFGJBXGBJISGV-UHFFFAOYSA-N,NC1=NC=NC2=C1N=CN2,lc/ms pos early,Method1,190,136.06178,2221.0,128.05,26035041.2265625
pubchem:500,4-guanidinobutanoate,TUHVEAJXIMEOSA-UHFFFAOYSA-N,N=C(N)NCCCC(O)=O,lc/ms pos early,Method1,500,146.09241,2320.0,134.12,72240159.96484375
pubchem:3080690,cysteine-glutathione disulfide,BNRXZEPOHPEEAS-UHFFFAOYSA-N,NC(C(O)=O)CCC(NC(CSSCC(N)C(O)=O)C(NCC(O)=O)=O)=O,lc/ms pos early,Method1,3080690,427.09519,2465.0,138.26,7407017.390625
pubchem:123800,N6-carboxymethyllysine,NUXSIDPKKIEIMI-UHFFFAOYSA-N,OC(CNCCCCC(C(O)=O)N)=O,lc/ms pos early,Method1,123800,205.11829,2500.0,158.73,10950266.40625
VOWFCBSRZKGKTF,"N,N-dimethyl-pro-pro",VOWFCBSRZKGKTF-UHFFFAOYSA-N,O=C(N1CCCC1C([O-])=O)C2CCC[N+]2(C)C,lc/ms pos early,Method1,,241.1547,2500.0,142.43,17150554.625
pubchem:60825,lamivudine,JTEGQNOMFQHVDC-NKWVEPMBSA-N,O=c1nc(N)ccn1[C@@H]2CS[C@H](CO)O2,lc/ms pos early,Method1,60825,230.0594,2586.0,147.62,453762097.4609375
pubchem:442106,tryptophan betaine,AOHCBEAZXHZMOR-ZDUSSCGKSA-N,O=C([O-])[C@@H]([N@+](C)(C)C)CC1=CNC2=C1C=CC=C2,lc/ms pos early,Method1,442106,247.14411,2673.0,157.72,4928082659.8125
pubchem:20977764,oxindolylalanine,YLEQTOAIAOPFBY-UHFFFAOYSA-N,OC(C(N)(C)N(C1=C(C2)C=CC=C1)C2=O)=O,lc/ms pos early,Method1,20977764,221.0921,2756.0,155.59,61202414.03125
pubchem:164795,N6-methyllysine,PQNASZJZHFPQLE-LURJTMIESA-N,O=C([C@H](CCCCNC)N)O,lc/ms pos early,Method1,164795,161.1285,2831.0,165.52,928419872.0
