compound_id,name,inchikey,smiles,platform,method,pubchem,mz,ri,observed_rt_sec,intensity
LNGSHJPPGDBEPT,"cis-3,4-methyleneheptanoylcarnitine",LNGSHJPPGDBEPT-VYAYZGMFSA-N,O=C(C[C@@]1([H])[C@@](C1)([H])CCC)OC(CC([O-])=O)C[N+](C)(C)C,lc/ms pos late,Method2,,286.2013,845.0,51.37,425223499.15625
pubchem:121454166,3-hydroxydecanoylcarnitine,VCRSQDIROUELAR-UHFFFAOYSA-N,OC(CCCCCCC)CC(OC(CC([O-])=O)C[N+](C)(C)C)=O,lc/ms pos late,Method2,121454166,332.2432,961.0,71.52,15540357.12890625
pubchem:5280353,biliverdin,QBUVFDKTZJNUPP-YBRAVLHJSA-N,CC1=C(/C=C(N2)/C(C=C)=C(C)C2=O)NC(/C=C3C(CCC(O)=O)=C(C)C(/C=C(N4)\C(C)=C(C=C)C4=O)=N\3)=C1CCC(O)=O,lc/ms pos late,Method2,5280353,583.25512,1016.0,69.3,1404679.4375
pubchem:91825571,5-dodecenoylcarnitine (C12:1),PETYOUXDCHQKTQ-QXPKXGMISA-N,CCCCCC/C=C\CCCC(O[C@@H](C[N+](C)(C)C)CC([O-])=O)=O,lc/ms pos late,Method2,91825571,342.26389,1135.0,68.19,35996513.21875
ULCCGBCYWCYNIC,octadecanedioylcarnitine (C18-DC)*,ULCCGBCYWCYNIC-UHFFFAOYSA-N,O=C(CCCCCCCCCCCCCCCCC(O)=O)OC(CC([O-])=O)C[N+](C)(C)C,lc/ms pos late,Method2,,458.34762,1227.0,89.2,35808145.546875
pubchem:136212424,arachidonoylcarnitine (C20:4),RBFQHRALHSUPIA-SNPVRQPZSA-N,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(OC(C[N+](C)(C)C)CC([O-])=O)=O,lc/ms pos late,Method2,136212424,448.34215,1353.0,120.05,4129377.9375
YVTVVJRJLRHYSJ,"sphingomyelin (d18:1/20:2, d18:2/20:1, d16:1/22:2)*",YVTVVJRJLRHYSJ-COUPUTHFSA-N,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](NC(CCCCCCCCC/C=C/C/C=C/CCCCC)=O)COP([O-])(OCC[N+](C)(C)C)=O,lc/ms pos late,Method2,,755.60615,2039.0,178.13,18834744.5625
pubchem:44260138,myristoyl dihydrosphingomyelin (d18:0/14:0)*,MJAFYELZQYPMQG-MPQUPPDSSA-N,[H][C@](NC(CCCCCCCCCCCCC)=O)(COP(OCC[N+](C)(C)C)([O-])=O)[C@@](O)([H])CCCCCCCCCCCCCCC,lc/ms pos late,Method2,44260138,677.5592,2060.0,127.6,5873211.53125
pubchem:46891763,"sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)",YMQZQHIESOAPQH-JXGHDCMNSA-N,O=C(N[C@@]([C@]([H])(O)/C=C/CCCCCCCCCCCCC)([H])COP([O-])(OCC[N+](C)(C)C)=O)CCCCCCCCCCCCCCCC,lc/ms pos late,Method2,46891763,717.5905,2312.0,127.51,783046446.875
pubchem:6436017,1-palmitoyl-2-oleoyl-GPC (16:0/18:1),WTJKGGKOPKCXLL-PFDVCBLKSA-N,O=C(CCCCCCC/C=C\CCCCCCCC)O[C@@H](COC(CCCCCCCCCCCCCCC)=O)COP(OCC[N+](C)(C)C)([O-])=O,lc/ms pos late,Method2,6436017,760.58509,2358.0,130.57,60015180945.5625
