platform,name,inchikey,pubchem_cid,cas_number,molecular_formula,mz,ri,observed_rt_sec
lc/ms neg,beta-citrylglutamate,GAQNUGISBQJMKO-UHFFFAOYSA-N,189741,,,320.06232,530.0,34.49
lc/ms neg,5-oxoproline,ODHCTXKNWHHXJC-VKHMYHEASA-N,7405,,,128.03531,738.5,44.96
lc/ms neg,N-delta-acetylornithine,SRXKAYJJGAAOBP-UHFFFAOYSA-N,9920500,,,173.09316,858.0,67.36
lc/ms neg,"5,6-dihydrouridine",ZPTBLXKRQACLCR-XVFCMESISA-N,94312,,,245.07791,1119.0,64.76
lc/ms neg,salicyluric glucuronide*,OEPADIDIUZTYOX-UHFFFAOYSA-N,121596205,,,370.07797,1463.0,83.84
lc/ms neg,N-formylmethionine,PYUSHNKNPOHWEZ-UHFFFAOYSA-N,439750,,,176.03869,1543.8,91.56
lc/ms neg,vanilloylglycine,LOODYTDRRBLQNH-UHFFFAOYSA-N,3083688,,,224.0564,1682.0,64.8
lc/ms neg,"1,3,7-trimethylurate",BYXCFUMGEBZDDI-UHFFFAOYSA-N,79437,,,209.068,1985.0,116.84
lc/ms neg,4-acetamidophenol,RZVAJINKPMORJF-UHFFFAOYSA-N,1983,,,150.05605,2173.7,127.6
lc/ms neg,N-acetyl-S-allyl-cysteine,LKRAEHUDIUJBSF-ZETCQYMHSA-N,152467,,,202.0543,2237.0,152.81
lc/ms neg,dodecenedioate (C12:1-DC)*,OHCMUMNQAHNIEP-HNQUOIGGSA-N,5283028,,,227.1289,2700.0,234.46
lc/ms neg,indolepropionate,GOLXRNDWAUTYKT-UHFFFAOYSA-N,3744,,,188.0717,2795.0,164.32
lc/ms neg,2-hydroxyheptanoate*,RGMMREBHCYXQMA-UHFFFAOYSA-N,2750949,,,145.08701,2900.0,169.63
lc/ms neg,tetradecadienedioate (C14:2-DC)*,MUFSRLVOUKHPIZ-OVYZBVKCSA-N,86018718,,,253.14453,3148.0,258.38
lc/ms neg,4-vinylphenol sulfate,IETVQHUKTKKBFF-UHFFFAOYSA-N,6426766,,,199.00705,3320.0,194.73
lc/ms neg,2-hydroxyibuprofen,UJHKVYPPCJBOSG-UHFFFAOYSA-N,10443535,,,221.11831,3462.0,267.73
lc/ms neg,4-allylphenol sulfate,KFDHKOFCRYUXLA-UHFFFAOYSA-N,66633409,,,213.0227,3805.0,227.21
lc/ms neg,21-hydroxypregnenolone disulfate,CBOVWLYQUCVTFA-WGKOQXAXSA-N,134595,,,245.0671,3935.0,226.65
lc/ms neg,2-ketocaprylate,GPPUPQFYDYLTIY-UHFFFAOYSA-N,67600,,,157.087,3951.0,210.22
lc/ms neg,thymol sulfate,NODSEPOUFZPJEQ-UHFFFAOYSA-N,12456386,,,229.054,4410.0,256.24
lc/ms neg,estrone 3-sulfate,JKKFKPJIXZFSSB-DFGXFYAUSA-N,3001028,,,349.1115,4417.3,257.49
lc/ms neg,cortisol,JYGXADMDTFJGBT-VWUMJDOOSA-N,5754,,,361.20204,4710.0,278.2
lc/ms neg,glycolithocholate sulfate*,FHXBAFXQVZOILS-OETIFKLTSA-N,72222,,,255.63073,5011.0,295.94
lc/ms neg,eicosenedioate (C20:1-DC)*,NZLFRLCYQVOISV-IWQZZHSRSA-N,,,,339.2541,5095.0,306.11
lc/ms neg,leukotriene B4,VNYSSYRCGWBHLG-XUOUMLBJSA-N,5280492,,,335.222784,5153.0,301.13
lc/ms neg,hexadecadienoate (16:2n6),WPJGPAAPSBVXNU-HZJYTTRNSA-N,13932172,,,251.20165,5398.0,322.56
lc/ms neg,docosahexaenoate (DHA; 22:6n3),MBMBGCFOFBJSGT-KUBAVDMBSA-N,445580,,,327.23295,5525.0,341.85
lc/ms neg,"2,4-di-tert-butylphenol",ICKWICRCANNIBI-UHFFFAOYSA-N,,,,205.1597,5749.0,338.46
lc/ms neg,linoleoyl ethanolamide,KQXDGUVSAAQARU-HZJYTTRNSA-N,5283446,,,322.27515,6150.0,357.45
lc/ms neg,erucate (22:1n9),DPUOLQHDNGRHBS-KTKRTIGZSA-N,8216,,,337.3112,6355.6,368.62
lc/ms polar,cholesterol sulfate,BHYOQNUELFTYRT-UHFFFAOYSA-N,65076,,,465.3043,681.0,82.2
lc/ms polar,salicylate,YGSDEFSMJLZEOE-UHFFFAOYSA-N,338,,,137.024418,802.0,45.62
lc/ms polar,N-formylanthranilic acid,LLLPDUXGHXIXIW-UHFFFAOYSA-N,101399,,,164.03531,900.0,55.84
lc/ms polar,uracil,ISAKRJDGNUQOIC-UHFFFAOYSA-N,1174,,,111.020001,1089.7,96.24
lc/ms polar,N-acetylalanine,KTHDTJVBEPMMGL-VKHMYHEASA-N,88064,,,130.05096,1564.8,91.69
lc/ms polar,orotate,PXQPEWDEAKTCGB-UHFFFAOYSA-N,967,,,155.00983,1638.1,96.12
lc/ms polar,allantoin,POJWUDADGALRAB-UHFFFAOYSA-N,204,,,157.03671,1672.0,100.74
lc/ms polar,5-acetylamino-6-amino-3-methyluracil,POQOTWQIYYNXAT-UHFFFAOYSA-N,88299,,,197.068,1710.0,109.66
lc/ms polar,2-keto-3-deoxy-gluconate,WPAMZTWLKIDIOP-WVZVXSGGSA-N,161227,,,177.04046,1900.0,111.82
lc/ms polar,glycerate,RBNPOMFGQQGHHO-UHFFFAOYSA-N,752,,,105.01933,2070.4,121.83
lc/ms polar,cysteine s-sulfate,NOKPBJYHPHHWAN-REOHCLBHSA-N,115015,,,199.96928,2273.0,137.22
lc/ms polar,suberate (C8-DC),TYFQFVWCELRYAO-UHFFFAOYSA-N,10457,,,173.08193,2577.6,154.6
lc/ms polar,isocitric lactone,UKZDIMBDWHZXOK-UHFFFAOYSA-N,98259,,,173.00916,2970.0,250.82
lc/ms pos early,phosphate,NBIIXXVUZAFLBC-UHFFFAOYSA-N,1061,,,98.98418,576.0,37.35
lc/ms pos early,urea,XSQUKJJJFZCRTK-UHFFFAOYSA-N,1176,,,121.07201,700.0,42.25
lc/ms pos early,hypotaurine,VVIUBCNYACGLLV-UHFFFAOYSA-N,107812,,,110.02703,724.0,43.95
lc/ms pos early,N-acetylglycine,OKJIRPAQVSHGFK-UHFFFAOYSA-N,10972,,,118.04987,826.0,48.37
lc/ms pos early,ergothioneine,SSISHJJTAXXQAX-UHFFFAOYSA-N,5351619,,,230.09578,850.0,49.29
lc/ms pos early,S-methylcysteine sulfoxide,ZZLHPCSGGOGHFW-UHFFFAOYSA-N,82142,,,152.03759,900.0,52.91
lc/ms pos early,2-hydroxyglutarate,HWXBTNAVRSUOJR-UHFFFAOYSA-N,43,,,147.02989,958.0,50.05
lc/ms pos early,thioproline,DZLNHFMRPBPULJ-VKHMYHEASA-N,93176,,,134.02703,1250.0,67.76
lc/ms pos early,N1-methyl-4-pyridone-3-carboxamide,KTLRWTOPTKGYQY-UHFFFAOYSA-N,440810,,,153.06586,1260.0,67.96
lc/ms pos early,2-pyrrolidinone,HNJBEVLQSNELDL-UHFFFAOYSA-N,12025,,,86.06004,1262.0,72.33
lc/ms pos early,7-methylxanthine,PFWLFWPASULGAN-UHFFFAOYSA-N,68374,,,167.0564,1350.0,69.58
lc/ms pos early,N1-methylinosine,WJNGQIYEQLPJMN-UHFFFAOYSA-N,650095,,,283.1037,1430.0,78.24
