compound_id,name,inchikey,smiles,platform,pubchem,mz,ri,observed_rt_sec,rt_spread_s,n_files,quality
pubchem:45,tartronate (hydroxymalonate),ROBFUDYVXSDBQM-UHFFFAOYSA-N,O=C(C(O)C(O)=O)O,lc/ms neg,45,118.99859,610.0,37.79,1.7,36,1.386
pubchem:1175,urate,LEHOTFFKMJEONL-UHFFFAOYSA-N,O=C1NC(NC(NC2=O)=O)=C2N1,lc/ms neg,1175,167.02106,757.1,45.98,15.0,98,1.595
pubchem:2108,methyl glucopyranoside (alpha + beta),HOVAGTYPODGVJG-ZFYZTMLRSA-N,O[C@H]1[C@@H]([C@H]([C@H](O[C@@H]1CO)OC)O)O,lc/ms neg,2108,193.0718,1070.0,166.83,2.1,95,1.94
pubchem:94312,"5,6-dihydrouridine",ZPTBLXKRQACLCR-XVFCMESISA-N,OC[C@H]1O[C@@H](N2CCC(NC2=O)=O)[C@@H]([C@@H]1O)O,lc/ms neg,94312,245.07791,1119.0,64.76,1.2,99,2.085
pubchem:121596205,salicyluric glucuronide*,OEPADIDIUZTYOX-UHFFFAOYSA-N,OC1=CC=CC=C1C(NCC(OC2C(O)C(O)C(O)C(C(O)=O)O2)=O)=O,lc/ms neg,121596205,370.07797,1463.0,83.84,0.5,3,1.167
URGVIWXYPWWBQO,1-(1-enyl-oleoyl)-GPE (P-18:1)*,URGVIWXYPWWBQO-ZCJATDNESA-N,O=P(OCC[NH3+])([O-])OC[C@H](O)CO/C=C/CCCCCC/C=C/CCCCCCCC,lc/ms neg,,464.3136,1566.0,376.05,3.4,99,1.886
PSDIFPFBXWPVJN,1-carboxyethyltyrosine,PSDIFPFBXWPVJN-UHFFFAOYSA-N,O=C(O)C(NC(C)C(O)=O)CC1=CC=C(O)C=C1,lc/ms neg,,252.0877,1846.0,87.02,11.5,3,0.552
MHWYRGPPKCKIQY,1-carboxyethylvaline,MHWYRGPPKCKIQY-UHFFFAOYSA-N,CC(C)C(NC(C)C(O)=O)C(O)=O,lc/ms neg,,188.0928,2008.0,84.38,2.2,49,1.44
pubchem:152467,N-acetyl-S-allyl-cysteine,LKRAEHUDIUJBSF-ZETCQYMHSA-N,OC([C@H](CSCC=C)N([H])C(C)=O)=O,lc/ms neg,152467,202.0543,2237.0,152.81,2.0,53,1.485
pubchem:3744,indolepropionate,GOLXRNDWAUTYKT-UHFFFAOYSA-N,OC(CCC1=CNC2=C1C=CC=C2)=O,lc/ms neg,3744,188.0717,2795.0,164.32,5.0,84,1.653
pubchem:2750949,2-hydroxyheptanoate*,RGMMREBHCYXQMA-UHFFFAOYSA-N,OC(C(O)CCCCC)=O,lc/ms neg,2750949,145.08701,2900.0,169.63,32.4,97,1.381
pubchem:86018718,tetradecadienedioate (C14:2-DC)*,MUFSRLVOUKHPIZ-OVYZBVKCSA-N,O=C(O)CCC/C=C\C/C=C\CCCCC(O)=O,lc/ms neg,86018718,253.14453,3148.0,258.38,15.7,98,1.508
pubchem:6426766,4-vinylphenol sulfate,IETVQHUKTKKBFF-UHFFFAOYSA-N,O=S(OC1=CC=C(C=C)C=C1)(O)=O,lc/ms neg,6426766,199.00705,3320.0,194.73,32.3,99,1.432
pubchem:10443535,2-hydroxyibuprofen,UJHKVYPPCJBOSG-UHFFFAOYSA-N,OC(C)(C)CC(C=C1)=CC=C1C(C(O)=O)C,lc/ms neg,10443535,221.11831,3462.0,267.73,22.2,76,1.2
pubchem:66633409,4-allylphenol sulfate,KFDHKOFCRYUXLA-UHFFFAOYSA-N,C=CCC1=CC=C(OS(=O)(O)=O)C=C1,lc/ms neg,66633409,213.0227,3805.0,227.21,7.2,92,1.642
pubchem:9837697,"2,4-dichlorophenol sulfate",XEBCTJAOHUUGHB-UHFFFAOYSA-N,ClC1=CC(Cl)=C(OS(=O)(O)=O)C=C1,lc/ms neg,9837697,240.91345,3860.0,226.02,12.3,92,1.485
pubchem:12456386,thymol sulfate,NODSEPOUFZPJEQ-UHFFFAOYSA-N,CC(C)C1=CC=C(C)C=C1OS(=O)(O)=O,lc/ms neg,12456386,229.054,4410.0,256.24,2.7,39,1.341
