compound_id,name,inchikey,smiles,platform,pubchem,mz,ri,observed_rt_sec,rt_spread_s,n_files,quality
LNGSHJPPGDBEPT,"cis-3,4-methyleneheptanoylcarnitine",LNGSHJPPGDBEPT-VYAYZGMFSA-N,O=C(C[C@@]1([H])[C@@](C1)([H])CCC)OC(CC([O-])=O)C[N+](C)(C)C,lc/ms pos late,,286.2013,845.0,51.37,1.6,92,2.014
pubchem:91825571,5-dodecenoylcarnitine (C12:1),PETYOUXDCHQKTQ-QXPKXGMISA-N,CCCCCC/C=C\CCCC(O[C@@H](C[N+](C)(C)C)CC([O-])=O)=O,lc/ms pos late,91825571,342.26389,1135.0,68.19,1.9,44,1.457
ULCCGBCYWCYNIC,octadecanedioylcarnitine (C18-DC)*,ULCCGBCYWCYNIC-UHFFFAOYSA-N,O=C(CCCCCCCCCCCCCCCCC(O)=O)OC(CC([O-])=O)C[N+](C)(C)C,lc/ms pos late,,458.34762,1227.0,89.2,2.6,34,1.285
pubchem:136212424,arachidonoylcarnitine (C20:4),RBFQHRALHSUPIA-SNPVRQPZSA-N,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(OC(C[N+](C)(C)C)CC([O-])=O)=O,lc/ms pos late,136212424,448.34215,1353.0,120.05,2.6,5,0.953
YVTVVJRJLRHYSJ,"sphingomyelin (d18:1/20:2, d18:2/20:1, d16:1/22:2)*",YVTVVJRJLRHYSJ-COUPUTHFSA-N,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](NC(CCCCCCCCC/C=C/C/C=C/CCCCC)=O)COP([O-])(OCC[N+](C)(C)C)=O,lc/ms pos late,,755.60615,2039.0,178.13,18.4,11,0.597
pubchem:46891763,"sphingomyelin (d18:1/17:0, d17:1/18:0, d19:1/16:0)",YMQZQHIESOAPQH-JXGHDCMNSA-N,O=C(N[C@@]([C@]([H])(O)/C=C/CCCCCCCCCCCCC)([H])COP([O-])(OCC[N+](C)(C)C)=O)CCCCCCCCCCCCCCCC,lc/ms pos late,46891763,717.5905,2312.0,127.51,4.0,82,1.717
pubchem:452110,"1,2-dipalmitoyl-GPC (16:0/16:0)",KILNVBDSWZSGLL-KXQOOQHDSA-N,CCCCCCCCCCCCCCCC(OC[C@]([H])(COP([O-])(OCC[N+](C)(C)C)=O)OC(CCCCCCCCCCCCCCC)=O)=O,lc/ms pos late,452110,734.56944,2365.0,132.72,4.4,99,1.892
pubchem:86472,alpha-tocopherol,GVJHHUAWPYXKBD-IEOSBIPESA-N,CC1=C2C(O[C@@](CCC[C@H](C)CCC[C@H](C)CCC[C@H](C)C)(C)CC2)=C(C)C(C)=C1O,lc/ms pos late,86472,430.381081,2522.0,142.94,14.3,99,1.633
pubchem:5997,cholesterol,HVYWMOMLDIMFJA-LBHVWCRMSA-N,CC1(C2C(C)CCCC(C)C)C(CC2)C(CC=C3C4(CC[C@H](O)C3)C)C4CC1,lc/ms pos late,5997,369.35159,2707.0,149.64,29.7,99,1.512
pubchem:5283564,N-palmitoyl-sphingosine (d18:1/16:0),YDNKGFDKKRUKPY-TURZORIXSA-N,OC[C@@H]([C@H](O)/C=C/CCCCCCCCCCCCC)NC(CCCCCCCCCCCCCCC)=O,lc/ms pos late,5283564,538.51937,2893.0,157.31,2.4,77,1.777
pubchem:5283572,N-palmitoyl-sphinganine (d18:0/16:0),GCGTXOVNNFGTPQ-JHOUSYSJSA-N,[H][C@](NC(CCCCCCCCCCCCCCC)=O)(CO)[C@@](O)([H])CCCCCCCCCCCCCCC,lc/ms pos late,5283572,540.53503,3090.0,166.04,1.8,5,1.025
QEDPUVGSSDPBMD,lignoceroyl sphingomyelin (d18:1/24:0),QEDPUVGSSDPBMD-XTAIVQBESA-N,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](NC(CCCCCCCCCCCCCCCCCCCCCCC)=O)COP([O-])(OCC[N+](C)(C)C)=O,lc/ms pos late,,815.70006,3437.0,179.35,24.3,99,1.541
MKOKWBRPIBQYJJ,lactosyl-N-nervonoyl-sphingosine (d18:1/24:1)*,MKOKWBRPIBQYJJ-WZBOJYASSA-N,[H][C@](NC(CCCCCCCCCCCCC/C=C\CCCCCCCC)=O)(CO[C@H]1[C@H](O)[C@@H](O)[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)[C@H](O2)CO)[C@H](O1)CO)[C@@](O)([H])/C=C/CCCCCCCCCCCCC,lc/ms pos late,,972.73457,3778.0,203.84,4.8,86,1.671
pubchem:11988421,1-linoleoyl-GPC (18:2),SPJFYYJXNPEZDW-UTJQPWESSA-N,O=P(OCC(O)COC(CCCCCCC/C=C\C/C=C\CCCCC)=O)([O-])OCC[N+](C)(C)C,lc/ms pos late,11988421,520.339766,5574.0,98.23,23.6,44,0.895
pubchem:497300,1-stearoyl-GPC (18:0),IHNKQIMGVNPMTC-RUZDIDTESA-N,O[C@H](COC(CCCCCCCCCCCCCCCCC)=O)COP(OCC[N+](C)(C)C)([O-])=O,lc/ms pos late,497300,524.371066,5844.0,103.98,4.8,6,0.815
